100 4950
1 2 1
1 3 1
1 4 5
1 5 3
1 6 4
1 7 4
1 8 3
1 9 4
1 10 4
1 11 4
1 12 1
1 13 1
1 14 2
1 15 4
1 16 4
1 17 3
1 18 1
1 19 1
1 20 5
1 21 5
1 22 1
1 23 1
1 24 2
1 25 4
1 26 2
1 27 4
1 28 4
1 29 3
1 30 1
1 31 2
1 32 2
1 33 3
1 34 5
1 35 1
1 36 3
1 37 1
1 38 2
1 39 3
1 40 5
1 41 2
1 42 2
1 43 2
1 44 4
1 45 2
1 46 5
1 47 2
1 48 1
1 49 1
1 50 2
1 51 2
1 52 1
1 53 4
1 54 1
1 55 3
1 56 2
1 57 4
1 58 4
1 59 5
1 60 5
1 61 1
1 62 1
1 63 4
1 64 3
1 65 3
1 66 1
1 67 1
1 68 5
1 69 4
1 70 5
1 71 4
1 72 1
1 73 5
1 74 5
1 75 4
1 76 2
1 77 5
1 78 1
1 79 1
1 80 2
1 81 1
1 82 4
1 83 5
1 84 2
1 85 3
1 86 1
1 87 4
1 88 2
1 89 1
1 90 2
1 91 1
1 92 1
1 93 2
1 94 3
1 95 1
1 96 3
1 97 3
1 98 5
1 99 2
1 100 3
2 3 3
2 4 5
2 5 3
2 6 1
2 7 5
2 8 2
2 9 2
2 10 3
2 11 5
2 12 2
2 13 5
2 14 4
2 15 3
2 16 5
2 17 5
2 18 5
2 19 5
2 20 4
2 21 3
2 22 1
2 23 3
2 24 1
2 25 3
2 26 2
2 27 5
2 28 4
2 29 5
2 30 5
2 31 5
2 32 1
2 33 2
2 34 1
2 35 4
2 36 3
2 37 1
2 38 5
2 39 5
2 40 4
2 41 2
2 42 1
2 43 3
2 44 2
2 45 2
2 46 1
2 47 2
2 48 1
2 49 1
2 50 4
2 51 1
2 52 2
2 53 2
2 54 4
2 55 5
2 56 2
2 57 5
2 58 3
2 59 3
2 60 2
2 61 1
2 62 2
2 63 2
2 64 1
2 65 5
2 66 2
2 67 5
2 68 3
2 69 4
2 70 3
2 71 5
2 72 2
2 73 5
2 74 3
2 75 2
2 76 4
2 77 1
2 78 2
2 79 4
2 80 3
2 81 5
2 82 1
2 83 4
2 84 2
2 85 1
2 86 4
2 87 1
2 88 1
2 89 4
2 90 4
2 91 3
2 92 1
2 93 5
2 94 3
2 95 5
2 96 5
2 97 2
2 98 2
2 99 5
2 100 4
3 4 4
3 5 2
3 6 1
3 7 3
3 8 3
3 9 2
3 10 5
3 11 4
3 12 4
3 13 4
3 14 4
3 15 2
3 16 3
3 17 1
3 18 2
3 19 3
3 20 4
3 21 3
3 22 2
3 23 3
3 24 3
3 25 5
3 26 4
3 27 2
3 28 4
3 29 1
3 30 1
3 31 5
3 32 2
3 33 2
3 34 1
3 35 4
3 36 5
3 37 5
3 38 1
3 39 5
3 40 3
3 41 3
3 42 3
3 43 1
3 44 3
3 45 5
3 46 4
3 47 3
3 48 2
3 49 4
3 50 4
3 51 5
3 52 3
3 53 1
3 54 2
3 55 5
3 56 5
3 57 1
3 58 1
3 59 1
3 60 1
3 61 4
3 62 2
3 63 2
3 64 3
3 65 1
3 66 5
3 67 3
3 68 3
3 69 4
3 70 3
3 71 1
3 72 5
3 73 2
3 74 2
3 75 3
3 76 3
3 77 5
3 78 5
3 79 4
3 80 1
3 81 4
3 82 3
3 83 1
3 84 2
3 85 2
3 86 5
3 87 2
3 88 3
3 89 3
3 90 1
3 91 2
3 92 3
3 93 3
3 94 4
3 95 4
3 96 5
3 97 5
3 98 4
3 99 2
3 100 4
4 5 2
4 6 1
4 7 3
4 8 1
4 9 5
4 10 4
4 11 5
4 12 4
4 13 3
4 14 5
4 15 5
4 16 5
4 17 3
4 18 4
4 19 2
4 20 5
4 21 4
4 22 1
4 23 3
4 24 4
4 25 1
4 26 3
4 27 3
4 28 4
4 29 2
4 30 2
4 31 3
4 32 1
4 33 4
4 34 2
4 35 4
4 36 1
4 37 2
4 38 5
4 39 4
4 40 5
4 41 1
4 42 3
4 43 4
4 44 3
4 45 4
4 46 4
4 47 1
4 48 3
4 49 3
4 50 3
4 51 2
4 52 4
4 53 5
4 54 2
4 55 5
4 56 3
4 57 1
4 58 4
4 59 3
4 60 5
4 61 1
4 62 1
4 63 2
4 64 4
4 65 3
4 66 2
4 67 2
4 68 1
4 69 3
4 70 5
4 71 3
4 72 2
4 73 4
4 74 2
4 75 5
4 76 3
4 77 4
4 78 2
4 79 2
4 80 4
4 81 1
4 82 1
4 83 3
4 84 1
4 85 1
4 86 5
4 87 5
4 88 4
4 89 5
4 90 3
4 91 5
4 92 3
4 93 5
4 94 2
4 95 2
4 96 5
4 97 5
4 98 2
4 99 3
4 100 4
5 6 1
5 7 1
5 8 4
5 9 5
5 10 4
5 11 2
5 12 4
5 13 5
5 14 5
5 15 2
5 16 3
5 17 4
5 18 4
5 19 4
5 20 3
5 21 2
5 22 1
5 23 5
5 24 4
5 25 5
5 26 3
5 27 2
5 28 4
5 29 1
5 30 2
5 31 2
5 32 2
5 33 2
5 34 1
5 35 3
5 36 4
5 37 4
5 38 3
5 39 1
5 40 5
5 41 5
5 42 3
5 43 2
5 44 4
5 45 2
5 46 1
5 47 4
5 48 2
5 49 2
5 50 1
5 51 5
5 52 4
5 53 2
5 54 5
5 55 5
5 56 4
5 57 5
5 58 2
5 59 4
5 60 5
5 61 3
5 62 1
5 63 4
5 64 1
5 65 4
5 66 5
5 67 2
5 68 1
5 69 1
5 70 3
5 71 4
5 72 5
5 73 3
5 74 1
5 75 1
5 76 5
5 77 4
5 78 2
5 79 2
5 80 3
5 81 1
5 82 4
5 83 2
5 84 4
5 85 4
5 86 5
5 87 5
5 88 1
5 89 4
5 90 4
5 91 3
5 92 3
5 93 1
5 94 2
5 95 5
5 96 2
5 97 4
5 98 2
5 99 4
5 100 1
6 7 5
6 8 2
6 9 4
6 10 5
6 11 5
6 12 3
6 13 2
6 14 4
6 15 3
6 16 5
6 17 1
6 18 1
6 19 1
6 20 3
6 21 5
6 22 5
6 23 5
6 24 5
6 25 2
6 26 4
6 27 1
6 28 2
6 29 3
6 30 1
6 31 4
6 32 4
6 33 2
6 34 1
6 35 5
6 36 5
6 37 5
6 38 4
6 39 3
6 40 3
6 41 2
6 42 5
6 43 4
6 44 4
6 45 2
6 46 2
6 47 4
6 48 5
6 49 5
6 50 5
6 51 3
6 52 2
6 53 3
6 54 4
6 55 1
6 56 3
6 57 5
6 58 1
6 59 4
6 60 3
6 61 3
6 62 5
6 63 2
6 64 5
6 65 5
6 66 5
6 67 4
6 68 2
6 69 2
6 70 2
6 71 1
6 72 2
6 73 1
6 74 1
6 75 5
6 76 2
6 77 4
6 78 2
6 79 1
6 80 4
6 81 2
6 82 4
6 83 3
6 84 5
6 85 4
6 86 3
6 87 1
6 88 3
6 89 2
6 90 1
6 91 1
6 92 1
6 93 4
6 94 2
6 95 5
6 96 5
6 97 1
6 98 1
6 99 5
6 100 4
7 8 5
7 9 2
7 10 2
7 11 3
7 12 3
7 13 5
7 14 1
7 15 2
7 16 4
7 17 3
7 18 1
7 19 1
7 20 3
7 21 3
7 22 5
7 23 5
7 24 4
7 25 1
7 26 2
7 27 2
7 28 2
7 29 1
7 30 2
7 31 4
7 32 1
7 33 3
7 34 5
7 35 1
7 36 2
7 37 5
7 38 2
7 39 5
7 40 4
7 41 1
7 42 5
7 43 5
7 44 5
7 45 1
7 46 2
7 47 3
7 48 4
7 49 4
7 50 4
7 51 2
7 52 5
7 53 2
7 54 3
7 55 2
7 56 5
7 57 2
7 58 5
7 59 2
7 60 3
7 61 4
7 62 3
7 63 1
7 64 5
7 65 3
7 66 1
7 67 2
7 68 2
7 69 5
7 70 3
7 71 1
7 72 3
7 73 3
7 74 1
7 75 2
7 76 3
7 77 4
7 78 3
7 79 1
7 80 1
7 81 3
7 82 3
7 83 5
7 84 3
7 85 4
7 86 4
7 87 4
7 88 3
7 89 3
7 90 5
7 91 4
7 92 5
7 93 2
7 94 5
7 95 4
7 96 5
7 97 1
7 98 2
7 99 3
7 100 2
8 9 5
8 10 2
8 11 3
8 12 2
8 13 2
8 14 5
8 15 3
8 16 1
8 17 2
8 18 1
8 19 2
8 20 5
8 21 2
8 22 4
8 23 5
8 24 1
8 25 1
8 26 3
8 27 1
8 28 1
8 29 1
8 30 2
8 31 3
8 32 3
8 33 4
8 34 4
8 35 4
8 36 1
8 37 4
8 38 4
8 39 2
8 40 4
8 41 1
8 42 2
8 43 2
8 44 4
8 45 1
8 46 4
8 47 2
8 48 4
8 49 2
8 50 4
8 51 1
8 52 1
8 53 1
8 54 5
8 55 1
8 56 4
8 57 2
8 58 1
8 59 4
8 60 5
8 61 2
8 62 1
8 63 4
8 64 3
8 65 2
8 66 4
8 67 1
8 68 4
8 69 5
8 70 4
8 71 5
8 72 4
8 73 2
8 74 3
8 75 1
8 76 3
8 77 1
8 78 2
8 79 4
8 80 3
8 81 5
8 82 2
8 83 3
8 84 1
8 85 3
8 86 1
8 87 1
8 88 1
8 89 2
8 90 5
8 91 1
8 92 5
8 93 5
8 94 1
8 95 4
8 96 5
8 97 2
8 98 3
8 99 3
8 100 1
9 10 5
9 11 2
9 12 1
9 13 4
9 14 4
9 15 5
9 16 1
9 17 1
9 18 5
9 19 4
9 20 3
9 21 1
9 22 2
9 23 3
9 24 2
9 25 2
9 26 5
9 27 5
9 28 2
9 29 1
9 30 2
9 31 3
9 32 1
9 33 2
9 34 2
9 35 4
9 36 2
9 37 2
9 38 5
9 39 5
9 40 2
9 41 4
9 42 2
9 43 4
9 44 4
9 45 1
9 46 5
9 47 2
9 48 1
9 49 5
9 50 3
9 51 3
9 52 5
9 53 3
9 54 2
9 55 2
9 56 4
9 57 5
9 58 5
9 59 4
9 60 4
9 61 3
9 62 4
9 63 1
9 64 5
9 65 4
9 66 4
9 67 1
9 68 3
9 69 3
9 70 3
9 71 4
9 72 2
9 73 3
9 74 5
9 75 4
9 76 4
9 77 1
9 78 1
9 79 5
9 80 2
9 81 2
9 82 4
9 83 3
9 84 4
9 85 1
9 86 3
9 87 5
9 88 5
9 89 4
9 90 4
9 91 1
9 92 4
9 93 3
9 94 5
9 95 2
9 96 3
9 97 3
9 98 3
9 99 2
9 100 5
10 11 3
10 12 3
10 13 3
10 14 4
10 15 3
10 16 2
10 17 3
10 18 2
10 19 3
10 20 2
10 21 1
10 22 1
10 23 3
10 24 2
10 25 1
10 26 3
10 27 3
10 28 1
10 29 4
10 30 5
10 31 3
10 32 5
10 33 1
10 34 3
10 35 1
10 36 4
10 37 1
10 38 4
10 39 3
10 40 2
10 41 5
10 42 4
10 43 5
10 44 3
10 45 1
10 46 3
10 47 1
10 48 3
10 49 4
10 50 1
10 51 4
10 52 5
10 53 2
10 54 1
10 55 2
10 56 2
10 57 5
10 58 5
10 59 3
10 60 3
10 61 5
10 62 5
10 63 4
10 64 5
10 65 5
10 66 2
10 67 3
10 68 5
10 69 3
10 70 2
10 71 2
10 72 1
10 73 5
10 74 5
10 75 2
10 76 5
10 77 2
10 78 5
10 79 5
10 80 4
10 81 4
10 82 4
10 83 4
10 84 3
10 85 3
10 86 4
10 87 3
10 88 3
10 89 4
10 90 5
10 91 5
10 92 1
10 93 5
10 94 5
10 95 1
10 96 1
10 97 1
10 98 2
10 99 1
10 100 3
11 12 2
11 13 1
11 14 1
11 15 3
11 16 4
11 17 3
11 18 5
11 19 1
11 20 3
11 21 4
11 22 5
11 23 4
11 24 2
11 25 5
11 26 2
11 27 5
11 28 2
11 29 2
11 30 3
11 31 2
11 32 3
11 33 5
11 34 3
11 35 4
11 36 4
11 37 4
11 38 4
11 39 4
11 40 5
11 41 3
11 42 2
11 43 3
11 44 3
11 45 4
11 46 4
11 47 1
11 48 2
11 49 4
11 50 4
11 51 3
11 52 1
11 53 3
11 54 2
11 55 3
11 56 4
11 57 3
11 58 5
11 59 1
11 60 3
11 61 2
11 62 4
11 63 2
11 64 2
11 65 4
11 66 4
11 67 5
11 68 1
11 69 5
11 70 5
11 71 5
11 72 2
11 73 3
11 74 1
11 75 1
11 76 5
11 77 1
11 78 5
11 79 2
11 80 1
11 81 5
11 82 2
11 83 1
11 84 4
11 85 1
11 86 4
11 87 4
11 88 3
11 89 5
11 90 4
11 91 3
11 92 4
11 93 4
11 94 4
11 95 2
11 96 5
11 97 4
11 98 1
11 99 4
11 100 3
12 13 4
12 14 3
12 15 1
12 16 5
12 17 3
12 18 4
12 19 2
12 20 4
12 21 2
12 22 5
12 23 2
12 24 2
12 25 1
12 26 1
12 27 4
12 28 3
12 29 3
12 30 4
12 31 3
12 32 3
12 33 4
12 34 5
12 35 5
12 36 4
12 37 1
12 38 2
12 39 2
12 40 4
12 41 3
12 42 3
12 43 2
12 44 5
12 45 2
12 46 2
12 47 1
12 48 1
12 49 4
12 50 2
12 51 2
12 52 1
12 53 1
12 54 4
12 55 3
12 56 2
12 57 1
12 58 1
12 59 3
12 60 4
12 61 5
12 62 2
12 63 4
12 64 1
12 65 3
12 66 2
12 67 3
12 68 4
12 69 4
12 70 2
12 71 4
12 72 2
12 73 3
12 74 2
12 75 1
12 76 3
12 77 3
12 78 3
12 79 3
12 80 3
12 81 1
12 82 1
12 83 3
12 84 1
12 85 4
12 86 4
12 87 2
12 88 3
12 89 2
12 90 4
12 91 2
12 92 4
12 93 4
12 94 1
12 95 5
12 96 3
12 97 5
12 98 2
12 99 2
12 100 5
13 14 5
13 15 4
13 16 3
13 17 1
13 18 2
13 19 2
13 20 2
13 21 4
13 22 2
13 23 1
13 24 5
13 25 1
13 26 3
13 27 3
13 28 2
13 29 1
13 30 4
13 31 2
13 32 5
13 33 4
13 34 1
13 35 3
13 36 3
13 37 1
13 38 2
13 39 3
13 40 3
13 41 2
13 42 2
13 43 3
13 44 1
13 45 1
13 46 3
13 47 5
13 48 3
13 49 4
13 50 2
13 51 1
13 52 3
13 53 4
13 54 3
13 55 4
13 56 1
13 57 1
13 58 4
13 59 5
13 60 3
13 61 3
13 62 1
13 63 5
13 64 5
13 65 2
13 66 1
13 67 3
13 68 3
13 69 5
13 70 4
13 71 5
13 72 1
13 73 5
13 74 4
13 75 1
13 76 2
13 77 2
13 78 4
13 79 4
13 80 2
13 81 3
13 82 2
13 83 3
13 84 1
13 85 4
13 86 1
13 87 2
13 88 5
13 89 2
13 90 4
13 91 3
13 92 2
13 93 5
13 94 4
13 95 1
13 96 2
13 97 2
13 98 3
13 99 5
13 100 3
14 15 3
14 16 5
14 17 5
14 18 4
14 19 5
14 20 2
14 21 3
14 22 2
14 23 2
14 24 5
14 25 3
14 26 1
14 27 3
14 28 3
14 29 3
14 30 2
14 31 5
14 32 3
14 33 1
14 34 4
14 35 4
14 36 3
14 37 4
14 38 1
14 39 5
14 40 5
14 41 1
14 42 4
14 43 5
14 44 1
14 45 3
14 46 4
14 47 1
14 48 5
14 49 1
14 50 2
14 51 2
14 52 4
14 53 5
14 54 2
14 55 5
14 56 5
14 57 3
14 58 1
14 59 5
14 60 1
14 61 3
14 62 3
14 63 4
14 64 5
14 65 3
14 66 5
14 67 5
14 68 1
14 69 5
14 70 3
14 71 5
14 72 3
14 73 2
14 74 4
14 75 2
14 76 4
14 77 2
14 78 2
14 79 1
14 80 2
14 81 2
14 82 1
14 83 3
14 84 1
14 85 4
14 86 4
14 87 1
14 88 5
14 89 3
14 90 1
14 91 4
14 92 5
14 93 4
14 94 1
14 95 1
14 96 2
14 97 1
14 98 5
14 99 5
14 100 3
15 16 4
15 17 1
15 18 1
15 19 2
15 20 1
15 21 5
15 22 1
15 23 2
15 24 3
15 25 3
15 26 5
15 27 1
15 28 1
15 29 1
15 30 2
15 31 3
15 32 1
15 33 2
15 34 4
15 35 2
15 36 1
15 37 4
15 38 5
15 39 2
15 40 1
15 41 1
15 42 4
15 43 4
15 44 3
15 45 5
15 46 2
15 47 1
