200 19900
1 2 270
1 3 381
1 4 582
1 5 737
1 6 767
1 7 672
1 8 50
1 9 870
1 10 477
1 11 284
1 12 699
1 13 424
1 14 531
1 15 580
1 16 368
1 17 681
1 18 578
1 19 633
1 20 321
1 21 197
1 22 789
1 23 606
1 24 864
1 25 242
1 26 406
1 27 681
1 28 875
1 29 391
1 30 926
1 31 785
1 32 394
1 33 748
1 34 446
1 35 949
1 36 738
1 37 143
1 38 535
1 39 415
1 40 346
1 41 553
1 42 245
1 43 832
1 44 433
1 45 730
1 46 61
1 47 728
1 48 743
1 49 295
1 50 830
1 51 926
1 52 551
1 53 256
1 54 216
1 55 497
1 56 226
1 57 378
1 58 57
1 59 277
1 60 392
1 61 177
1 62 302
1 63 569
1 64 132
1 65 528
1 66 705
1 67 939
1 68 82
1 69 706
1 70 529
1 71 275
1 72 782
1 73 751
1 74 551
1 75 756
1 76 260
1 77 692
1 78 643
1 79 12
1 80 259
1 81 465
1 82 931
1 83 607
1 84 563
1 85 454
1 86 123
1 87 671
1 88 533
1 89 374
1 90 652
1 91 827
1 92 566
1 93 865
1 94 615
1 95 448
1 96 515
1 97 664
1 98 340
1 99 885
1 100 119
1 101 256
1 102 811
1 103 358
1 104 396
1 105 321
1 106 474
1 107 874
1 108 591
1 109 468
1 110 261
1 111 658
1 112 363
1 113 366
1 114 598
1 115 124
1 116 706
1 117 334
1 118 267
1 119 280
1 120 623
1 121 865
1 122 955
1 123 940
1 124 791
1 125 639
1 126 564
1 127 849
1 128 219
1 129 990
1 130 564
1 131 298
1 132 966
1 133 174
1 134 683
1 135 944
1 136 554
1 137 37
1 138 1046
1 139 398
1 140 411
1 141 572
1 142 121
1 143 516
1 144 600
1 145 918
1 146 542
1 147 766
1 148 512
1 149 956
1 150 955
1 151 641
1 152 89
1 153 601
1 154 620
1 155 729
1 156 697
1 157 742
1 158 538
1 159 195
1 160 684
1 161 352
1 162 294
1 163 271
1 164 512
1 165 671
1 166 499
1 167 256
1 168 297
1 169 395
1 170 205
1 171 200
1 172 372
1 173 607
1 174 325
1 175 110
1 176 513
1 177 820
1 178 481
1 179 862
1 180 873
1 181 514
1 182 587
1 183 626
1 184 383
1 185 409
1 186 762
1 187 782
1 188 556
1 189 515
1 190 554
1 191 895
1 192 405
1 193 832
1 194 790
1 195 300
1 196 502
1 197 492
1 198 384
1 199 794
1 200 473
2 3 145
2 4 312
2 5 477
2 6 529
2 7 512
2 8 291
2 9 648
2 10 297
2 11 309
2 12 548
2 13 356
2 14 549
2 15 365
2 16 335
2 17 427
2 18 594
2 19 363
2 20 65
2 21 262
2 22 519
2 23 376
2 24 602
2 25 104
2 26 451
2 27 433
2 28 625
2 29 132
2 30 661
2 31 544
2 32 201
2 33 523
2 34 423
2 35 685
2 36 480
2 37 335
2 38 301
2 39 283
2 40 90
2 41 341
2 42 300
2 43 614
2 44 178
2 45 571
2 46 278
2 47 549
2 48 492
2 49 298
2 50 570
2 51 660
2 52 280
2 53 142
2 54 281
2 55 455
2 56 292
2 57 315
2 58 296
2 59 223
2 60 223
2 61 176
2 62 316
2 63 323
2 64 333
2 65 263
2 66 499
2 67 711
2 68 231
2 69 463
2 70 522
2 71 249
2 72 519
2 73 543
2 74 538
2 75 537
2 76 282
2 77 425
2 78 538
2 79 266
2 80 140
2 81 212
2 82 670
2 83 404
2 84 345
2 85 307
2 86 174
2 87 543
2 88 263
2 89 272
2 90 383
2 91 565
2 92 346
2 93 607
2 94 357
2 95 214
2 96 416
2 97 430
2 98 148
2 99 647
2 100 277
2 101 135
2 102 556
2 103 453
2 104 461
2 105 428
2 106 221
2 107 617
2 108 509
2 109 413
2 110 35
2 111 459
2 112 261
2 113 410
2 114 371
2 115 149
2 116 436
2 117 464
2 118 221
2 119 142
2 120 522
2 121 623
2 122 728
2 123 677
2 124 605
2 125 413
2 126 511
2 127 616
2 128 352
2 129 739
2 130 508
2 131 395
2 132 741
2 133 343
2 134 462
2 135 709
2 136 310
2 137 290
2 138 826
2 139 141
2 140 303
2 141 303
2 142 261
2 143 431
2 144 429
2 145 659
2 146 295
2 147 613
2 148 279
2 149 750
2 150 686
2 151 413
2 152 198
2 153 462
2 154 353
2 155 480
2 156 451
2 157 511
2 158 365
2 159 188
2 160 422
2 161 98
2 162 52
2 163 246
2 164 384
2 165 493
2 166 242
2 167 181
2 168 298
2 169 189
2 170 321
2 171 335
2 172 221
2 173 384
2 174 371
2 175 185
2 176 258
2 177 612
2 178 390
2 179 610
2 180 650
2 181 569
2 182 426
2 183 435
2 184 447
2 185 405
2 186 598
2 187 564
2 188 389
2 189 483
2 190 435
2 191 659
2 192 396
2 193 604
2 194 578
2 195 106
2 196 467
2 197 273
2 198 197
2 199 569
2 200 235
3 4 252
3 5 358
3 6 535
3 7 588
3 8 413
3 9 504
3 10 383
3 11 298
3 12 628
3 13 276
3 14 686
3 15 413
3 16 282
3 17 416
3 18 729
3 19 281
3 20 81
3 21 293
3 22 428
3 23 233
3 24 486
3 25 142
3 26 417
3 27 300
3 28 606
3 29 177
3 30 551
3 31 407
3 32 75
3 33 545
3 34 557
3 35 571
3 36 357
3 37 400
3 38 158
3 39 180
3 40 60
3 41 394
3 42 310
3 43 469
3 44 211
3 45 644
3 46 369
3 47 610
3 48 362
3 49 441
3 50 451
3 51 550
3 52 216
3 53 147
3 54 426
3 55 584
3 56 438
3 57 249
3 58 390
3 59 364
3 60 111
3 61 320
3 62 459
3 63 188
3 64 403
3 65 164
3 66 541
3 67 720
3 68 362
3 69 467
3 70 655
3 71 233
3 72 405
3 73 398
3 74 670
3 75 565
3 76 280
3 77 380
3 78 641
3 79 373
3 80 143
3 81 236
3 82 551
3 83 458
3 84 391
3 85 410
3 86 310
3 87 635
3 88 197
3 89 397
3 90 328
3 91 450
3 92 391
3 93 577
3 94 343
3 95 269
3 96 309
3 97 449
3 98 64
3 99 509
3 100 345
3 101 276
3 102 430
3 103 446
3 104 437
3 105 432
3 106 96
3 107 587
3 108 622
3 109 330
3 110 131
3 111 313
3 112 186
3 113 384
3 114 227
3 115 258
3 116 358
3 117 475
3 118 208
3 119 125
3 120 628
3 121 619
3 122 737
3 123 562
3 124 657
3 125 443
3 126 634
3 127 622
3 128 385
3 129 609
3 130 630
3 131 400
3 132 752
3 133 482
3 134 493
3 135 710
3 136 328
3 137 391
3 138 839
3 139 185
3 140 211
3 141 259
3 142 399
3 143 547
3 144 504
3 145 537
3 146 161
3 147 688
3 148 320
3 149 780
3 150 589
3 151 441
3 152 295
3 153 554
3 154 314
3 155 348
3 156 451
3 157 527
3 158 228
3 159 334
3 160 308
3 161 174
3 162 175
3 163 232
3 164 488
3 165 350
3 166 250
3 167 324
3 168 441
3 169 278
3 170 355
3 171 478
3 172 336
3 173 420
3 174 516
3 175 318
3 176 266
3 177 646
3 178 508
3 179 481
3 180 507
3 181 710
3 182 290
3 183 497
3 184 425
3 185 353
3 186 667
3 187 419
3 188 471
3 189 612
3 190 316
3 191 520
3 192 534
3 193 617
3 194 611
3 195 83
3 196 596
3 197 127
3 198 80
3 199 588
3 200 277
4 5 227
4 6 309
4 7 457
4 8 600
4 9 476
4 10 317
4 11 551
4 12 498
4 13 509
4 14 698
4 15 268
4 16 528
4 17 184
4 18 732
4 19 64
4 20 270
4 21 539
4 22 214
4 23 266
4 24 327
4 25 375
4 26 665
4 27 237
4 28 360
4 29 201
4 30 371
4 31 344
4 32 309
4 33 337
4 34 570
4 35 401
4 36 239
4 37 636
4 38 232
4 39 407
4 40 250
4 41 264
4 42 561
4 43 457
4 44 175
4 45 502
4 46 588
4 47 452
4 48 270
4 49 513
4 50 303
4 51 371
4 52 36
4 53 393
4 54 539
4 55 573
4 56 547
4 57 492
4 58 607
4 59 439
4 60 345
4 61 456
4 62 531
4 63 196
4 64 637
4 65 104
4 66 361
4 67 489
4 68 536
4 69 247
4 70 655
4 71 486
4 72 248
4 73 425
4 74 661
4 75 362
4 76 532
4 77 128
4 78 557
4 79 578
4 80 388
4 81 158
4 82 397
4 83 312
4 84 251
4 85 370
4 86 477
4 87 529
4 88 54
4 89 413
4 90 76
4 91 290
4 92 247
4 93 326
4 94 124
4 95 210
4 96 512
4 97 249
4 98 316
4 99 438
4 100 578
4 101 376
4 102 307
4 103 698
4 104 687
4 105 685
4 106 177
4 107 336
4 108 565
4 109 557
4 110 327
4 111 384
4 112 430
4 113 634
4 114 273
4 115 461
4 116 125
4 117 727
4 118 460
4 119 374
4 120 552
4 121 380
4 122 505
4 123 395
4 124 480
4 125 262
4 126 601
4 127 393
4 128 633
4 129 489
4 130 594
4 131 653
4 132 521
4 133 628
4 134 304
4 135 472
4 136 168
4 137 603
4 138 609
4 139 198
4 140 442
4 141 31
4 142 555
4 143 509
4 144 386
4 145 393
4 146 190
4 147 543
4 148 202
4 149 566
4 150 381
4 151 256
4 152 509
4 153 458
4 154 70
4 155 272
4 156 229
4 157 314
4 158 382
4 159 458
4 160 172
4 161 239
4 162 293
4 163 485
4 164 429
4 165 448
4 166 131
4 167 414
4 168 512
4 169 270
4 170 602
4 171 609
4 172 345
4 173 255
4 174 589
4 175 490
4 176 130
4 177 445
4 178 479
4 179 367
4 180 476
4 181 745
4 182 433
4 183 355
4 184 676
4 185 597
4 186 515
4 187 417
4 188 373
4 189 602
4 190 500
4 191 453
4 192 563
4 193 393
4 194 410
4 195 325
4 196 587
4 197 264
4 198 319
4 199 373
4 200 191
5 6 465
5 7 671
5 8 766
5 9 264
5 10 544
5 11 619
5 12 710
5 13 520
5 14 924
5 15 487
5 16 563
5 17 357
5 18 959
5 19 165
5 20 417
5 21 639
5 22 138
5 23 185
5 24 127
5 25 500
5 26 695
5 27 84
5 28 456
5 29 403
5 30 196
5 31 130
5 32 370
5 33 512
5 34 795
5 35 213
5 36 17
5 37 753
5 38 225
5 39 430
5 40 392
5 41 487
5 42 643
5 43 255
5 44 391
5 45 708
5 46 727
5 47 653
5 48 57
5 49 726
5 50 93
5 51 195
5 52 234
