c1,c2,Z
1.0,1.0,29.2
1.0,1.25,27.7
1.0,1.5,29.1
1.0,1.75,24.0
1.0,2.0,17.5
1.0,2.25,11.7
1.0,2.5,24.2
1.0,2.75,22.1
1.0,3.0,24.2
1.0,3.25,12.1
1.0,3.5,23.8
1.0,3.75,22.9
1.0,4.0,15.0
1.0,4.25,7.5
1.0,4.5,9.7
1.0,4.75,9.8
1.25,1.0,38.5
1.25,1.25,20.7
1.25,1.5,20.8
1.25,1.75,27.1
1.25,2.0,24.3
1.25,2.25,13.2
1.25,2.5,25.5
1.25,2.75,26.1
1.25,3.0,15.3
1.25,3.25,25.0
1.25,3.5,8.4
1.25,3.75,15.3
1.25,4.0,11.6
1.25,4.25,14.5
1.25,4.5,20.2
1.25,4.75,12.4
1.5,1.0,26.1
1.5,1.25,23.8
1.5,1.5,19.0
1.5,1.75,23.6
1.5,2.0,25.3
1.5,2.25,22.5
1.5,2.5,17.9
1.5,2.75,15.1
1.5,3.0,19.9
1.5,3.25,17.2
1.5,3.5,21.7
1.5,3.75,14.8
1.5,4.0,21.1
1.5,4.25,12.3
1.5,4.5,16.8
1.5,4.75,13.9
1.75,1.0,29.5
1.75,1.25,17.0
1.75,1.5,21.0
1.75,1.75,26.1
1.75,2.0,20.7
1.75,2.25,24.8
1.75,2.5,14.7
1.75,2.75,17.8
1.75,3.0,15.6
1.75,3.25,18.5
1.75,3.5,14.7
1.75,3.75,12.6
1.75,4.0,12.2
1.75,4.25,18.4
1.75,4.5,11.7
1.75,4.75,12.2
2.0,1.0,24.3
2.0,1.25,29.8
2.0,1.5,19.7
2.0,1.75,12.0
2.0,2.0,23.7
2.0,2.25,16.2
2.0,2.5,16.7
2.0,2.75,16.7
2.0,3.0,21.6
2.0,3.25,17.8
2.0,3.5,13.8
2.0,3.75,13.2
2.0,4.0,13.6
2.0,4.25,14.0
2.0,4.5,12.9
2.0,4.75,11.2
2.25,1.0,23.1
2.25,1.25,22.3
2.25,1.5,25.8
2.25,1.75,23.4
2.25,2.0,33.0
2.25,2.25,11.0
2.25,2.5,21.8
