c1,c2,Z
1.0,1.0,26.4
1.0,1.25,20.3
1.0,1.5,24.1
1.0,1.75,10.7
1.0,2.0,13.4
1.0,2.25,9.7
1.0,2.5,18.2
1.0,2.75,14.1
1.0,3.0,8.1
1.0,3.25,11.6
1.0,3.5,6.7
1.0,3.75,12.4
1.0,4.0,10.9
1.0,4.25,11.3
1.0,4.5,6.6
1.0,4.75,7.5
1.25,1.0,22.9
1.25,1.25,4.6
1.25,1.5,15.3
1.25,1.75,2.7
1.25,2.0,9.3
1.25,2.25,7.8
1.25,2.5,10.7
1.25,2.75,11.9
1.25,3.0,8.3
1.25,3.25,12.5
1.25,3.5,6.9
1.25,3.75,4.6
1.25,4.0,12.5
1.25,4.25,8.1
1.25,4.5,8.6
1.25,4.75,6.7
1.5,1.0,25.2
1.5,1.25,13.1
1.5,1.5,13.7
1.5,1.75,17.4
1.5,2.0,12.7
1.5,2.25,13.6
1.5,2.5,14.4
1.5,2.75,10.3
1.5,3.0,16.2
1.5,3.25,11.6
1.5,3.5,12.2
1.5,3.75,9.9
1.5,4.0,11.2
1.5,4.25,8.6
1.5,4.5,10.7
1.5,4.75,9.0
1.75,1.0,24.1
1.75,1.25,10.6
1.75,1.5,19.1
1.75,1.75,16.3
1.75,2.0,7.9
1.75,2.25,10.8
1.75,2.5,9.9
1.75,2.75,10.6
1.75,3.0,11.1
1.75,3.25,11.5
1.75,3.5,17.6
1.75,3.75,6.3
1.75,4.0,11.0
1.75,4.25,12.8
1.75,4.5,5.0
1.75,4.75,10.1
2.0,1.0,6.3
2.0,1.25,19.3
2.0,1.5,10.0
2.0,1.75,8.4
2.0,2.0,13.0
2.0,2.25,16.1
2.0,2.5,10.8
2.0,2.75,20.9
2.0,3.0,11.0
2.0,3.25,14.8
2.0,3.5,7.7
2.0,3.75,10.2
2.0,4.0,7.5
2.0,4.25,10.2
2.0,4.5,2.0
2.0,4.75,9.2
2.25,1.0,9.5
2.25,1.25,14.5
2.25,1.5,5.0
2.25,1.75,14.4
2.25,2.0,9.3
2.25,2.25,9.2
2.25,2.5,4.1
2.25,2.75,8.1
2.25,3.0,7.4
2.25,3.25,9.2
2.25,3.5,11.0
2.25,3.75,13.5
2.25,4.0,6.1
2.25,4.25,11.7
2.25,4.5,6.4
2.25,4.75,4.7
2.5,1.0,14.6
2.5,1.25,16.2
2.5,1.5,15.0
2.5,1.75,11.0
2.5,2.0,8.4
2.5,2.25,4.8
2.5,2.5,17.5
2.5,2.75,9.5
2.5,3.0,11.8
2.5,3.25,14.5
2.5,3.5,8.4
2.5,3.75,8.4
2.5,4.0,8.8
2.5,4.25,7.9
2.5,4.5,6.5
2.5,4.75,11.6
2.75,1.0,9.4
2.75,1.25,13.3
2.75,1.5,14.0
2.75,1.75,15.1
2.75,2.0,10.1
2.75,2.25,7.8
2.75,2.5,8.6
2.75,2.75,8.5
2.75,3.0,4.3
2.75,3.25,9.1
2.75,3.5,9.9
2.75,3.75,7.3
2.75,4.0,11.3
2.75,4.25,9.3
2.75,4.5,11.3
2.75,4.75,5.9
3.0,1.0,25.4
3.0,1.25,8.4
3.0,1.5,7.6
3.0,1.75,11.0
3.0,2.0,9.9
3.0,2.25,5.5
3.0,2.5,9.2
3.0,2.75,8.7
3.0,3.0,8.2
3.0,3.25,10.7
3.0,3.5,8.5
3.0,3.75,8.9
3.0,4.0,8.5
3.0,4.25,9.2
3.0,4.5,6.0
3.0,4.75,8.8
3.25,1.0,8.4
3.25,1.25,14.1
3.25,1.5,7.0
3.25,1.75,12.4
3.25,2.0,11.5
3.25,2.25,16.3
3.25,2.5,3.8
3.25,2.75,10.5
3.25,3.0,7.5
3.25,3.25,11.3
3.25,3.5,8.9
3.25,3.75,8.0
3.25,4.0,9.7
3.25,4.25,9.0
3.25,4.5,8.5
3.25,4.75,6.8
3.5,1.0,10.9
3.5,1.25,9.5
3.5,1.5,7.3
3.5,1.75,11.5
3.5,2.0,8.9
3.5,2.25,13.5
3.5,2.5,10.7
3.5,2.75,7.9
3.5,3.0,11.9
3.5,3.25,7.3
3.5,3.5,9.3
3.5,3.75,7.9
3.5,4.0,9.2
3.5,4.25,12.6
3.5,4.5,9.7
3.5,4.75,7.5
3.75,1.0,11.4
3.75,1.25,18.1
3.75,1.5,11.1
3.75,1.75,10.7
3.75,2.0,8.5
3.75,2.25,7.1
3.75,2.5,10.4
3.75,2.75,9.2
3.75,3.0,6.0
3.75,3.25,10.5
3.75,3.5,10.0
3.75,3.75,11.5
3.75,4.0,9.3
3.75,4.25,10.2
3.75,4.5,6.7
3.75,4.75,7.8
4.0,1.0,8.7
4.0,1.25,9.1
4.0,1.5,12.8
4.0,1.75,13.0
4.0,2.0,11.0
4.0,2.25,11.1
4.0,2.5,7.1
4.0,2.75,10.3
4.0,3.0,7.0
4.0,3.25,9.1
4.0,3.5,10.6
4.0,3.75,4.7
4.0,4.0,11.0
4.0,4.25,9.0
4.0,4.5,8.6
4.0,4.75,8.6
4.25,1.0,23.8
4.25,1.25,14.1
4.25,1.5,8.4
4.25,1.75,13.4
4.25,2.0,6.9
4.25,2.25,9.1
4.25,2.5,12.4
4.25,2.75,8.9
4.25,3.0,7.2
4.25,3.25,14.2
4.25,3.5,13.8
4.25,3.75,7.9
4.25,4.0,9.4
4.25,4.25,9.4
4.25,4.5,10.3
4.25,4.75,6.1
4.5,1.0,13.1
4.5,1.25,8.8
4.5,1.5,11.6
4.5,1.75,5.7
4.5,2.0,10.9
