c1,c2,Z
1.0,1.0,23.3
1.0,1.25,9.6
1.0,1.5,23.0
1.0,1.75,116.7
1.0,2.0,14.6
1.0,2.25,9.6
1.0,2.5,8.0
1.0,2.75,16.0
1.0,3.0,57.1
1.0,3.25,13.1
1.0,3.5,4.6
1.0,3.75,8.3
1.0,4.0,12.2
1.0,4.25,9.5
1.0,4.5,8.2
1.0,4.75,2196.5
1.25,1.0,27.4
1.25,1.25,8.2
1.25,1.5,9.3
1.25,1.75,32.8
1.25,2.0,15.4
1.25,2.25,13.9
1.25,2.5,12.5
1.25,2.75,15.3
1.25,3.0,5.3
1.25,3.25,10.8
1.25,3.5,19.3
1.25,3.75,12.7
1.25,4.0,5.8
1.25,4.25,8.6
1.25,4.5,587.9
1.25,4.75,9.0
1.5,1.0,17.3
1.5,1.25,16.9
1.5,1.5,18.9
1.5,1.75,121.5
1.5,2.0,11.6
1.5,2.25,27.6
1.5,2.5,1720.0
1.5,2.75,6.4
1.5,3.0,6.1
1.5,3.25,12.3
1.5,3.5,17.0
1.5,3.75,12.1
1.5,4.0,2.3
1.5,4.25,14.9
1.5,4.5,630.3
1.5,4.75,10.0
1.75,1.0,23.4
1.75,1.25,9.4
1.75,1.5,19.0
1.75,1.75,9.2
1.75,2.0,7.7
1.75,2.25,14.3
1.75,2.5,96.7
1.75,2.75,8.5
1.75,3.0,10.8
1.75,3.25,11.3
1.75,3.5,12.7
1.75,3.75,11.9
1.75,4.0,9.3
1.75,4.25,1538.9
1.75,4.5,35.2
1.75,4.75,201.3
2.0,1.0,19.3
2.0,1.25,10.5
2.0,1.5,12.0
2.0,1.75,8.4
2.0,2.0,14.8
2.0,2.25,122.7
2.0,2.5,23.7
2.0,2.75,11.9
2.0,3.0,11.6
2.0,3.25,12.3
2.0,3.5,7.3
2.0,3.75,11.6
2.0,4.0,9.6
2.0,4.25,8.3
2.0,4.5,5.3
2.0,4.75,6.4
2.25,1.0,10.6
2.25,1.25,9.3
2.25,1.5,12.6
2.25,1.75,9.4
2.25,2.0,9.8
2.25,2.25,16.0
2.25,2.5,13.5
2.25,2.75,5.1
2.25,3.0,7.3
2.25,3.25,14.6
2.25,3.5,21.2
2.25,3.75,9.3
2.25,4.0,8.0
2.25,4.25,17.9
2.25,4.5,11.6
2.25,4.75,10.2
2.5,1.0,12.8
2.5,1.25,16.6
2.5,1.5,13.3
2.5,1.75,15.9
2.5,2.0,13.5
2.5,2.25,16.6
2.5,2.5,9.8
2.5,2.75,6.7
2.5,3.0,13.1
2.5,3.25,360.0
2.5,3.5,13.8
2.5,3.75,13.0
2.5,4.0,6.7
2.5,4.25,6.7
2.5,4.5,9.1
2.5,4.75,7.2
2.75,1.0,16.7
2.75,1.25,8.6
2.75,1.5,12.4
2.75,1.75,20.2
2.75,2.0,8.5
2.75,2.25,6.4
2.75,2.5,8.2
2.75,2.75,10.1
2.75,3.0,10.0
2.75,3.25,12.9
2.75,3.5,9.0
2.75,3.75,9.2
2.75,4.0,11.9
2.75,4.25,8.2
2.75,4.5,7.5
2.75,4.75,8.7
3.0,1.0,4.2
3.0,1.25,11.6
3.0,1.5,17.1
3.0,1.75,9.4
3.0,2.0,14.4
3.0,2.25,8.6
3.0,2.5,8.5
3.0,2.75,9.3
3.0,3.0,12.9
3.0,3.25,14.8
3.0,3.5,9.6
3.0,3.75,9.0
3.0,4.0,10.1
3.0,4.25,8.1
3.0,4.5,6.1
3.0,4.75,9.0
3.25,1.0,9.2
3.25,1.25,8.9
3.25,1.5,12.3
3.25,1.75,13.9
3.25,2.0,9.8
3.25,2.25,12.1
3.25,2.5,9.8
3.25,2.75,10.3
3.25,3.0,9.2
3.25,3.25,7.5
3.25,3.5,10.0
3.25,3.75,9.1
3.25,4.0,5.8
3.25,4.25,5.9
3.25,4.5,73.9
3.25,4.75,7.9
3.5,1.0,31.6
3.5,1.25,19.0
3.5,1.5,14.3
3.5,1.75,5.5
3.5,2.0,5.8
3.5,2.25,10.5
3.5,2.5,181.6
3.5,2.75,7.8
3.5,3.0,8.9
3.5,3.25,18.3
3.5,3.5,7.3
3.5,3.75,34.4
3.5,4.0,5.1
3.5,4.25,7.5
3.5,4.5,6.7
3.5,4.75,6.7
3.75,1.0,16.1
3.75,1.25,9.3
3.75,1.5,14.3
3.75,1.75,13.0
3.75,2.0,10.5
3.75,2.25,7.1
3.75,2.5,9.4
3.75,2.75,10.3
3.75,3.0,12.5
3.75,3.25,9.2
3.75,3.5,5.2
3.75,3.75,6.3
3.75,4.0,10.7
3.75,4.25,11.3
3.75,4.5,8.6
3.75,4.75,11.1
4.0,1.0,13.5
4.0,1.25,6.1
4.0,1.5,14.4
4.0,1.75,9.4
4.0,2.0,13.9
4.0,2.25,10.3
4.0,2.5,8.3
4.0,2.75,9.5
4.0,3.0,8.5
4.0,3.25,17.4
4.0,3.5,6.9
4.0,3.75,7.7
4.0,4.0,11.2
4.0,4.25,4.7
4.0,4.5,8.4
4.0,4.75,8.3
4.25,1.0,5.8
4.25,1.25,13.3
4.25,1.5,7.0
4.25,1.75,11.4
4.25,2.0,8.7
4.25,2.25,7.9
4.25,2.5,20.9
4.25,2.75,4.1
4.25,3.0,7.1
4.25,3.25,9.4
4.25,3.5,8.9
4.25,3.75,13.1
4.25,4.0,5.5
4.25,4.25,8.4
4.25,4.5,12.6
4.25,4.75,5.3
4.5,1.0,10.8
4.5,1.25,6.8
4.5,1.5,8.6
4.5,1.75,13.7
4.5,2.0,13.5
4.5,2.25,9.8
4.5,2.5,9.7
4.5,2.75,8.6
4.5,3.0,10.1
4.5,3.25,8.1
4.5,3.5,16.2
4.5,3.75,7.2
4.5,4.0,10.4
4.5,4.25,10.8
4.5,4.5,9.3
