25 300
1 2 4
1 3 1
1 4 2
1 5 5
1 6 5
1 7 1
1 8 5
1 9 4
1 10 2
1 11 3
1 12 4
1 13 5
1 14 4
1 15 1
1 16 3
1 17 1
1 18 4
1 19 3
1 20 4
1 21 5
1 22 4
1 23 5
1 24 2
1 25 3
2 3 5
2 4 3
2 5 1
2 6 3
2 7 2
2 8 4
2 9 2
2 10 3
2 11 3
2 12 3
2 13 4
2 14 5
2 15 3
2 16 3
2 17 2
2 18 5
2 19 4
2 20 4
2 21 3
2 22 5
2 23 2
2 24 3
2 25 1
3 4 4
3 5 3
3 6 5
3 7 1
3 8 2
3 9 4
3 10 3
3 11 5
3 12 5
3 13 5
3 14 5
3 15 5
3 16 4
3 17 2
3 18 4
3 19 1
3 20 1
3 21 4
3 22 3
3 23 1
3 24 2
3 25 2
4 5 2
4 6 4
4 7 4
4 8 1
4 9 1
4 10 5
4 11 1
4 12 5
4 13 3
4 14 3
4 15 2
4 16 3
4 17 4
4 18 4
4 19 5
4 20 3
4 21 3
4 22 2
4 23 2
4 24 1
4 25 4
5 6 1
5 7 5
5 8 5
5 9 2
5 10 3
5 11 1
5 12 5
5 13 5
5 14 1
5 15 5
5 16 4
5 17 4
5 18 2
5 19 1
5 20 5
5 21 1
5 22 4
5 23 5
5 24 5
5 25 5
6 7 5
6 8 1
6 9 5
6 10 2
6 11 5
6 12 1
6 13 5
6 14 5
6 15 2
6 16 1
6 17 3
6 18 4
6 19 1
6 20 4
6 21 3
6 22 3
6 23 1
6 24 2
6 25 4
7 8 2
7 9 5
7 10 2
7 11 4
7 12 1
7 13 5
7 14 3
7 15 2
7 16 4
7 17 5
7 18 2
7 19 2
7 20 1
7 21 2
7 22 1
7 23 5
7 24 4
7 25 2
8 9 5
8 10 2
8 11 5
8 12 3
8 13 2
8 14 2
8 15 1
8 16 5
8 17 3
8 18 5
8 19 3
8 20 3
8 21 2
8 22 2
8 23 3
8 24 5
8 25 5
9 10 2
9 11 4
9 12 3
9 13 4
9 14 3
9 15 5
9 16 5
9 17 1
9 18 1
9 19 4
9 20 4
9 21 5
9 22 5
9 23 5
9 24 3
9 25 4
10 11 1
10 12 3
10 13 5
10 14 5
10 15 2
10 16 4
10 17 5
10 18 2
10 19 5
10 20 3
10 21 4
10 22 1
10 23 4
10 24 3
10 25 4
11 12 2
11 13 3
11 14 5
11 15 2
11 16 3
11 17 5
11 18 3
11 19 2
11 20 5
11 21 3
11 22 2
11 23 5
11 24 1
11 25 3
12 13 1
12 14 4
12 15 1
12 16 4
12 17 5
12 18 1
12 19 4
12 20 2
12 21 3
12 22 3
12 23 3
12 24 4
12 25 1
13 14 4
13 15 1
13 16 4
13 17 5
13 18 2
13 19 5
13 20 2
13 21 5
13 22 5
13 23 1
13 24 2
13 25 3
14 15 2
14 16 2
14 17 5
14 18 4
14 19 3
14 20 1
14 21 3
14 22 4
14 23 2
14 24 1
14 25 5
15 16 2
15 17 5
15 18 1
15 19 1
15 20 5
15 21 2
15 22 4
15 23 1
15 24 1
15 25 2
16 17 3
16 18 5
16 19 1
16 20 5
16 21 2
16 22 1
16 23 4
16 24 4
16 25 1
17 18 5
17 19 2
17 20 4
17 21 4
17 22 3
17 23 2
17 24 2
17 25 3
18 19 5
18 20 2
18 21 4
18 22 5
18 23 2
18 24 2
18 25 5
19 20 5
19 21 1
19 22 2
19 23 5
19 24 5
19 25 4
20 21 5
20 22 1
20 23 1
20 24 5
20 25 4
21 22 5
21 23 3
21 24 4
21 25 3
22 23 3
22 24 1
22 25 2
23 24 1
23 25 5
24 25 1
