196 364
1 2 5
1 15 5
2 3 3
2 16 1
3 4 3
3 17 2
4 5 4
4 18 1
5 6 5
5 19 1
6 7 5
6 20 5
7 8 1
7 21 5
8 9 2
8 22 3
9 10 4
9 23 4
10 11 3
10 24 4
11 12 5
11 25 2
12 13 1
12 26 2
13 14 3
13 27 4
14 28 2
15 16 1
15 29 4
16 17 5
16 30 4
17 18 1
17 31 2
18 19 5
18 32 2
19 20 4
19 33 4
20 21 1
20 34 5
21 22 1
21 35 5
22 23 4
22 36 4
23 24 3
23 37 2
24 25 1
24 38 2
25 26 2
25 39 4
26 27 5
26 40 2
27 28 1
27 41 3
28 42 4
29 30 4
29 43 2
30 31 3
30 44 2
31 32 5
31 45 1
32 33 3
32 46 2
33 34 5
33 47 3
34 35 5
34 48 4
35 36 1
35 49 2
36 37 1
36 50 5
37 38 3
37 51 5
38 39 2
38 52 2
39 40 1
39 53 1
40 41 5
40 54 3
41 42 1
41 55 3
42 56 2
43 44 2
43 57 2
44 45 1
44 58 3
45 46 5
45 59 2
46 47 4
46 60 5
47 48 1
47 61 5
48 49 3
48 62 5
49 50 4
49 63 4
50 51 4
50 64 1
51 52 4
51 65 5
52 53 4
52 66 5
53 54 5
53 67 3
54 55 2
54 68 2
55 56 1
55 69 3
56 70 3
57 58 4
57 71 2
58 59 1
58 72 2
59 60 1
59 73 3
60 61 2
60 74 3
61 62 4
61 75 5
62 63 2
62 76 3
63 64 1
63 77 1
64 65 2
64 78 2
65 66 5
65 79 5
66 67 1
66 80 3
67 68 5
67 81 1
68 69 5
68 82 2
69 70 4
69 83 3
70 84 3
71 72 5
71 85 3
72 73 2
72 86 3
73 74 1
73 87 2
74 75 4
74 88 5
75 76 2
75 89 2
76 77 1
76 90 3
77 78 1
77 91 4
78 79 1
78 92 4
79 80 5
79 93 4
80 81 3
80 94 2
81 82 3
81 95 2
82 83 3
82 96 5
83 84 4
83 97 3
84 98 3
85 86 2
85 99 4
86 87 3
86 100 5
87 88 5
87 101 3
88 89 3
88 102 3
89 90 1
89 103 3
90 91 2
90 104 3
91 92 2
91 105 2
92 93 1
92 106 3
93 94 2
93 107 4
94 95 3
94 108 4
95 96 2
95 109 2
96 97 1
96 110 1
97 98 1
97 111 4
98 112 1
99 100 2
99 113 3
100 101 3
100 114 4
101 102 3
101 115 4
102 103 5
102 116 5
103 104 5
103 117 1
104 105 4
104 118 5
105 106 3
105 119 5
106 107 5
106 120 3
107 108 5
107 121 4
108 109 1
108 122 1
109 110 5
109 123 4
110 111 3
110 124 2
111 112 3
111 125 5
112 126 1
113 114 1
113 127 1
114 115 1
114 128 2
115 116 1
115 129 1
116 117 1
116 130 3
117 118 2
117 131 1
118 119 4
118 132 4
119 120 3
119 133 1
120 121 3
120 134 4
121 122 2
121 135 1
122 123 1
122 136 4
123 124 2
123 137 2
124 125 4
124 138 5
125 126 2
125 139 2
126 140 4
127 128 4
127 141 3
128 129 4
128 142 4
129 130 2
129 143 4
130 131 1
130 144 1
131 132 1
131 145 5
132 133 3
132 146 1
133 134 1
133 147 5
134 135 5
134 148 2
135 136 2
135 149 5
136 137 2
136 150 5
137 138 2
137 151 2
138 139 3
138 152 5
139 140 5
139 153 2
140 154 2
141 142 3
141 155 1
142 143 5
142 156 2
143 144 1
143 157 3
144 145 3
144 158 3
145 146 4
145 159 3
146 147 1
146 160 2
147 148 5
147 161 1
148 149 4
148 162 3
149 150 3
149 163 3
150 151 5
150 164 4
151 152 3
151 165 4
152 153 1
152 166 4
153 154 1
153 167 4
154 168 1
155 156 2
155 169 4
156 157 5
156 170 3
157 158 1
157 171 1
158 159 3
158 172 5
159 160 2
159 173 5
160 161 5
160 174 4
161 162 4
161 175 3
162 163 3
162 176 4
163 164 4
163 177 3
164 165 1
164 178 3
165 166 5
165 179 2
166 167 3
166 180 4
167 168 3
167 181 1
168 182 5
169 170 2
169 183 4
170 171 2
170 184 2
171 172 3
171 185 5
172 173 3
172 186 4
173 174 4
173 187 2
174 175 2
174 188 1
175 176 1
175 189 4
176 177 2
176 190 3
177 178 2
177 191 4
178 179 4
178 192 3
179 180 5
179 193 3
180 181 5
180 194 1
181 182 1
181 195 5
182 196 5
183 184 1
184 185 3
185 186 5
186 187 1
187 188 3
188 189 1
189 190 3
190 191 4
191 192 5
192 193 3
193 194 5
194 195 5
195 196 4
