50 1225
1 2 867
1 3 861
1 4 992
1 5 529
1 6 850
1 7 756
1 8 397
1 9 721
1 10 565
1 11 689
1 12 660
1 13 316
1 14 400
1 15 374
1 16 208
1 17 732
1 18 186
1 19 516
1 20 424
1 21 687
1 22 726
1 23 175
1 24 471
1 25 365
1 26 788
1 27 311
1 28 747
1 29 381
1 30 250
1 31 312
1 32 891
1 33 865
1 34 224
1 35 636
1 36 389
1 37 670
1 38 677
1 39 778
1 40 1005
1 41 537
1 42 704
1 43 477
1 44 551
1 45 523
1 46 731
1 47 495
1 48 899
1 49 713
1 50 499
2 3 1046
2 4 584
2 5 548
2 6 305
2 7 635
2 8 622
2 9 809
2 10 349
2 11 638
2 12 330
2 13 660
2 14 531
2 15 891
2 16 764
2 17 196
2 18 864
2 19 821
2 20 616
2 21 945
2 22 286
2 23 728
2 24 514
2 25 607
2 26 455
2 27 827
2 28 775
2 29 501
2 30 788
2 31 559
2 32 232
2 33 38
2 34 716
2 35 591
2 36 699
2 37 279
2 38 268
2 39 658
2 40 388
2 41 407
2 42 840
2 43 498
2 44 341
2 45 510
2 46 200
2 47 422
2 48 470
2 49 858
2 50 491
3 4 625
3 5 545
3 6 777
3 7 418
3 8 575
3 9 238
3 10 1021
3 11 407
3 12 1122
3 13 623
3 14 675
3 15 492
3 16 670
3 17 1079
3 18 677
3 19 354
3 20 556
3 21 174
3 22 759
3 23 932
3 24 623
3 25 1043
3 26 608
3 27 551
3 28 271
3 29 764
3 30 617
3 31 791
3 32 868
3 33 1075
3 34 683
3 35 460
3 36 522
3 37 779
3 38 789
3 39 400
3 40 829
3 41 1052
3 42 215
3 43 1071
3 44 983
3 45 587
3 46 850
3 47 722
3 48 655
3 49 197
3 50 1090
4 5 463
4 6 283
4 7 277
4 8 596
4 9 450
4 10 765
4 11 341
4 12 822
4 13 677
4 14 604
4 15 777
4 16 797
4 17 716
4 18 875
4 19 614
4 20 571
4 21 618
4 22 373
4 23 946
4 24 526
4 25 939
4 26 214
4 27 764
4 28 398
4 29 661
4 30 779
4 31 731
4 32 352
4 33 622
4 34 769
4 35 369
4 36 627
4 37 438
4 38 440
4 39 271
4 40 233
4 41 822
4 42 494
4 43 891
4 44 732
4 45 470
4 46 454
4 47 543
4 48 124
4 49 506
4 50 898
5 6 376
5 7 244
5 8 133
5 9 314
5 10 477
5 11 189
5 12 577
5 13 213
5 14 162
5 15 368
5 16 335
5 17 541
5 18 420
5 19 273
5 20 110
5 21 411
5 22 284
5 23 500
5 24 87
5 25 544
5 26 266
5 27 327
5 28 305
5 29 244
5 30 324
5 31 298
5 32 447
5 33 569
5 34 305
5 35 122
5 36 182
5 37 270
5 38 281
5 39 271
5 40 512
5 41 511
5 42 330
5 43 543
5 44 439
5 45 42
5 46 350
5 47 177
5 48 378
5 49 347
5 50 559
6 7 359
6 8 496
6 9 550
6 10 504
6 11 383
6 12 547
6 13 564
6 14 452
6 15 743
6 16 687
6 17 435
6 18 781
6 19 624
6 20 479
6 21 706
6 22 128
6 23 762
6 24 392
6 25 712
6 26 169
6 27 702
6 28 507
6 29 476
6 30 689
6 31 550
6 32 90
6 33 342
6 34 646
6 35 358
6 36 557
6 37 195
6 38 192
6 39 377
6 40 158
6 41 564
6 42 588
6 43 642
6 44 475
6 45 355
6 46 181
6 47 356
6 48 164
6 49 605
6 50 645
